month,term,value,category,index,x,y,vy,vx,monthNum
2015-01-01,Addiction,11.29,mental health,0,2.9638269033704403,136.51543405075807,0.028093364504854647,0.17623035784765054,1420070400000
2015-02-01,Addiction,7.49,mental health,1,17.054763233748847,165.49158247887064,0.0070645464334800285,0.10296547405001694,1422748800000
2015-03-01,Addiction,12.96,mental health,2,29.12358487268031,125.2319632922784,-0.03560774421676262,0.022266416105714146,1425168000000
2015-04-01,Addiction,11.07,mental health,3,34.00283683303184,137.9331453730205,0.05701405511078118,-0.07404108002952682,1427846400000
2015-05-01,Addiction,10.71,mental health,4,55.175968525419755,171.8845037519627,0.08893858803835647,0.04369585487735366,1430438400000
2015-06-01,Addiction,11.93,mental health,5,64.79289102839151,136.27317288348397,0.049211644486705015,0.09179412584979563,1433116800000
2015-07-01,Addiction,14.91,mental health,6,80.53110254492621,171.89861287274584,0.20141595531711456,-0.043399366508482806,1435708800000
2015-08-01,Addiction,8.68,mental health,7,93.63666888640167,171.95805558602274,0.08480251079067347,-0.0012129098553288835,1438387200000
2015-09-01,Addiction,11.58,mental health,8,100.7761317936614,135.67459127405465,-0.05063753066305669,-0.17567786409347128,1441065600000
2015-10-01,Addiction,10.71,mental health,9,120.41601835167535,170.46133327048614,0.05748633443549832,0.08434237359012235,1443657600000
2015-11-01,Addiction,14.09,mental health,10,135.72799685141993,183.63155182689812,0.1312825666565532,0.001477250223864579,1446336000000
2015-12-01,Addiction,7.98,mental health,11,148.62123137205148,130.15934499255073,0.29445734087783754,0.11710373770658505,1448928000000
2016-01-01,Addiction,8.78,mental health,12,162.0318711354831,171.3830589975358,0.05180477626677083,0.0364863225604131,1451606400000
2016-02-01,Addiction,14.63,mental health,13,174.31031037706265,126.16800256342204,-0.16388759974108563,0.0075860851914958324,1454284800000
2016-03-01,Addiction,15.11,mental health,14,181.0334733479911,172.09029028269742,0.02710282203154023,-0.05916040830218632,1456790400000
2016-04-01,Addiction,13.63,mental health,15,194.06476363830473,161.8499721817211,0.030774432271746248,0.04208494717646198,1459468800000
2016-05-01,Addiction,10.58,mental health,16,209.76439835262585,141.77569059240528,-0.1664586061852046,0.07786658668674255,1462060800000
2016-06-01,Addiction,8.77,mental health,17,221.8789509604178,174.32449732283536,0.16677197342249633,-0.05604337355117733,1464739200000
2016-07-01,Addiction,9.7,mental health,18,238.1703162057235,144.41759998822602,0.09304290076469528,-0.18023873467909804,1467331200000
2016-08-01,Addiction,7.46,mental health,19,244.63147805794154,154.97677991632045,-0.10818668367992312,-0.15335401062186627,1470009600000
2016-09-01,Addiction,8.25,mental health,20,261.05486022948446,149.54705354506692,-0.42688964869531565,0.3505760243863767,1472688000000
2016-10-01,Addiction,10.1,mental health,21,272.49405302384173,139.3186136486939,-0.3903470505983664,-0.42877655688260846,1475280000000
2016-11-01,Addiction,13.66,mental health,22,289.4678320329142,166.16061211104136,0.05808779927983669,-0.12469756572306502,1477958400000
2016-12-01,Addiction,9.52,mental health,23,305.99761918125034,152.36499722812758,-0.18934914143617126,-0.8035628171555134,1480550400000
2017-01-01,Addiction,15.71,mental health,24,320.34413225774546,141.75667353531313,0.07508019663055496,-0.4106096494087401,1483228800000
2017-02-01,Addiction,9.95,mental health,25,332.06288348947646,173.56346216764157,0.12239927277157571,0.0819394362221189,1485907200000
2017-03-01,Addiction,8.37,mental health,26,338.6905361064113,123.83050121768821,-0.19514553288111927,0.11142041578736729,1488326400000
2017-04-01,Addiction,9.83,mental health,27,359.4660189388015,166.37007258832924,0.18646055172233048,0.43538259107312743,1491004800000
2017-05-01,Addiction,13.93,mental health,28,369.0862547483635,175.0802472843885,0.14301003984721716,0.021984656618739724,1493596800000
2017-06-01,Addiction,11.02,mental health,29,380.5847461534886,135.3964107888773,-0.2551122000210953,-0.15216419088285305,1496275200000
2017-07-01,Addiction,13.05,mental health,30,396.0027108207685,158.0613425949934,-0.20974616795956683,-0.09576307945046983,1498867200000
2017-08-01,Addiction,13.03,mental health,31,412.16369560905633,129.92761862783493,-0.04300346104985909,-0.04689133860477742,1501545600000
2017-09-01,Addiction,10.26,mental health,32,418.4670891808066,142.21711955791304,0.06424006903136964,0.045297719585876854,1504224000000
2017-10-01,Addiction,10.08,mental health,33,429.8920195132859,166.66289162150844,0.16235449623695244,-0.30643931296145643,1506816000000
2017-11-01,Addiction,7.23,mental health,34,452.85936146024716,127.11083068661151,0.10493415898818098,-0.12867015110675395,1509494400000
2017-12-01,Addiction,9.1,mental health,35,457.7131876530335,176.0216178383441,-0.08915650698727884,-0.04063719107891291,1512086400000
2018-01-01,Addiction,11.62,mental health,36,470.777401284855,126.48441952562841,-0.10286126444026776,-0.15137624526311175,1514764800000
2018-02-01,Addiction,12.49,mental health,37,482.251618842669,140.4343411485319,-0.09966668134427865,0.48781249040200636,1517443200000
2018-03-01,Addiction,10.28,mental health,38,502.1618762030882,158.79981222389793,0.0008145554912833086,-0.13640503809880744,1519862400000
2018-04-01,Addiction,9.48,mental health,39,509.3412802872732,144.69925059775767,0.20280294749036518,0.4740098651262096,1522540800000
2018-05-01,Addiction,10.77,mental health,40,522.8090663119593,179.35855910432105,0.1212493662227405,-0.013960191894722734,1525132800000
2018-06-01,Addiction,11.49,mental health,41,542.5608217653948,172.29402256061252,0.22508860541731748,-0.36197308307514414,1527811200000
2018-07-01,Addiction,13,mental health,42,548.1075223939438,152.0623485400256,0.42452802620021646,0.3853556816535299,1530403200000
